time_s,interval,c_yolo,d_blur,d_noise,d_contrast,d_illumination,d_temporal,d_video,latency_s,n_correct,n_expected,R_exp
0.0,0,0.7128,0.9544,0.0264,0.2369,0.3477,0.0583,0.3247,0.0413,30,30,1.0
1.0,1,0.7128,0.3178,0.3178,0.3178,0.3178,0.3178,0.3178,0.0344,30,30,1.0
2.0,2,0.7965,0.317,0.317,0.317,0.317,0.317,0.317,0.0354,30,30,1.0
3.0,3,0.6097,0.3103,0.3103,0.3103,0.3103,0.3103,0.3103,0.0358,27,30,0.9
4.0,4,0.3364,0.2699,0.2699,0.2699,0.2699,0.2699,0.2699,0.0327,20,30,0.6667
5.0,5,0.0,0.299,0.299,0.299,0.299,0.299,0.299,0.0323,0,30,0.0
6.0,6,0.0,0.3489,0.3489,0.3489,0.3489,0.3489,0.3489,0.0343,0,30,0.0
7.0,7,0.0,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.0332,0,30,0.0
8.0,8,0.0,0.3205,0.3205,0.3205,0.3205,0.3205,0.3205,0.0346,0,30,0.0
9.0,9,0.0,0.3291,0.3291,0.3291,0.3291,0.3291,0.3291,0.0335,0,30,0.0
10.0,10,0.0,0.3116,0.3116,0.3116,0.3116,0.3116,0.3116,0.0323,0,30,0.0
11.0,11,0.5561,0.3005,0.3005,0.3005,0.3005,0.3005,0.3005,0.0357,1,30,0.0333
12.0,12,0.7526,0.2909,0.2909,0.2909,0.2909,0.2909,0.2909,0.0401,22,30,0.7333
13.0,13,0.3998,0.303,0.303,0.303,0.303,0.303,0.303,0.0346,25,30,0.8333
14.0,14,0.6086,0.2994,0.2994,0.2994,0.2994,0.2994,0.2994,0.0351,22,30,0.7333
15.0,15,0.0,0.3339,0.3339,0.3339,0.3339,0.3339,0.3339,0.0347,0,30,0.0
16.0,16,0.0,0.2829,0.2829,0.2829,0.2829,0.2829,0.2829,0.036,0,30,0.0
17.0,17,0.0,0.3361,0.3361,0.3361,0.3361,0.3361,0.3361,0.0362,0,30,0.0
18.0,18,0.5115,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.0376,11,30,0.3667
19.0,19,0.4298,0.2738,0.2738,0.2738,0.2738,0.2738,0.2738,0.0407,21,30,0.7
20.0,20,0.0,0.2687,0.2687,0.2687,0.2687,0.2687,0.2687,0.0404,0,30,0.0
21.0,21,0.3815,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.0394,1,30,0.0333
22.0,22,0.731,0.2982,0.2982,0.2982,0.2982,0.2982,0.2982,0.0395,10,30,0.3333
23.0,23,0.631,0.2996,0.2996,0.2996,0.2996,0.2996,0.2996,0.0372,27,30,0.9
24.0,24,0.5997,0.2997,0.2997,0.2997,0.2997,0.2997,0.2997,0.0385,15,30,0.5
25.0,25,0.4783,0.2951,0.2951,0.2951,0.2951,0.2951,0.2951,0.0411,2,30,0.0667
26.0,26,0.0,0.2951,0.2951,0.2951,0.2951,0.2951,0.2951,0.0388,0,30,0.0
27.0,27,0.0,0.2739,0.2739,0.2739,0.2739,0.2739,0.2739,0.0369,0,30,0.0
28.0,28,0.5825,0.2727,0.2727,0.2727,0.2727,0.2727,0.2727,0.0375,23,30,0.7667
29.0,29,0.8008,0.3003,0.3003,0.3003,0.3003,0.3003,0.3003,0.0362,21,30,0.7
30.0,30,0.0,0.3016,0.3016,0.3016,0.3016,0.3016,0.3016,0.0385,0,30,0.0
31.0,31,0.3565,0.2882,0.2882,0.2882,0.2882,0.2882,0.2882,0.0328,2,30,0.0667
32.0,32,0.4346,0.2591,0.2591,0.2591,0.2591,0.2591,0.2591,0.0341,12,30,0.4
33.0,33,0.5738,0.2983,0.2983,0.2983,0.2983,0.2983,0.2983,0.0333,15,30,0.5
34.0,34,0.0,0.2736,0.2736,0.2736,0.2736,0.2736,0.2736,0.0328,0,30,0.0
35.0,35,0.0,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.0327,0,30,0.0
36.0,36,0.2978,0.3551,0.3551,0.3551,0.3551,0.3551,0.3551,0.0334,1,30,0.0333
37.0,37,0.2965,0.3259,0.3259,0.3259,0.3259,0.3259,0.3259,0.0332,2,30,0.0667
38.0,38,0.0,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.0345,0,30,0.0
39.0,39,0.0,0.3034,0.3034,0.3034,0.3034,0.3034,0.3034,0.0355,0,30,0.0
40.0,40,0.0,0.3149,0.3149,0.3149,0.3149,0.3149,0.3149,0.0374,0,30,0.0
41.0,41,0.0,0.288,0.288,0.288,0.288,0.288,0.288,0.0345,0,30,0.0
42.0,42,0.0,0.277,0.277,0.277,0.277,0.277,0.277,0.0346,0,30,0.0
43.0,43,0.5481,0.2914,0.2914,0.2914,0.2914,0.2914,0.2914,0.0351,16,30,0.5333
44.0,44,0.7972,0.2999,0.2999,0.2999,0.2999,0.2999,0.2999,0.0352,16,30,0.5333
45.0,45,0.0,0.2848,0.2848,0.2848,0.2848,0.2848,0.2848,0.0352,0,30,0.0
46.0,46,0.0,0.2699,0.2699,0.2699,0.2699,0.2699,0.2699,0.0373,0,30,0.0
47.0,47,0.5946,0.2785,0.2785,0.2785,0.2785,0.2785,0.2785,0.036,27,30,0.9
48.0,48,0.4748,0.2957,0.2957,0.2957,0.2957,0.2957,0.2957,0.0382,16,30,0.5333
49.0,49,0.0,0.3007,0.3007,0.3007,0.3007,0.3007,0.3007,0.0335,0,30,0.0
50.0,50,0.0,0.2789,0.2789,0.2789,0.2789,0.2789,0.2789,0.0335,0,30,0.0
51.0,51,0.476,0.2667,0.2667,0.2667,0.2667,0.2667,0.2667,0.0337,22,30,0.7333
52.0,52,0.5389,0.2815,0.2815,0.2815,0.2815,0.2815,0.2815,0.0329,14,30,0.4667
53.0,53,0.0,0.2597,0.2597,0.2597,0.2597,0.2597,0.2597,0.0329,0,30,0.0
54.0,54,0.0,0.3701,0.3701,0.3701,0.3701,0.3701,0.3701,0.0346,0,30,0.0
